iter	Passed	Remaining
306	961	2169
307	963	2164
308	966	2160
309	968	2156
310	971	2151
311	973	2146
312	976	2143
313	979	2139
314	981	2134
315	984	2130
316	986	2125
317	989	2121
318	991	2117
319	994	2112
320	996	2107
321	999	2103
322	1001	2098
323	1003	2093
324	1006	2089
325	1008	2084
326	1010	2079
327	1013	2076
328	1016	2072
329	1018	2068
330	1021	2065
331	1024	2061
332	1027	2057
333	1029	2052
334	1031	2047
335	1034	2043
336	1036	2039
337	1038	2034
338	1041	2029
339	1043	2025
340	1045	2020
341	1049	2019
342	1052	2015
343	1054	2010
344	1056	2005
345	1058	2000
346	1060	1996
347	1063	1993
348	1066	1989
349	1069	1986
350	1073	1984
351	1075	1980
352	1079	1978
353	1082	1974
354	1084	1970
355	1087	1966
356	1089	1962
357	1091	1958
358	1095	1955
359	1097	1951
360	1100	1948
361	1102	1943
362	1105	1939
363	1108	1936
364	1110	1932
365	1113	1928
366	1115	1924
367	1117	1919
368	1120	1916
369	1125	1916
370	1128	1913
371	1130	1909
372	1133	1904
373	1135	1900
374	1138	1897
375	1140	1893
376	1143	1889
377	1145	1884
378	1147	1879
379	1149	1875
380	1152	1871
381	1154	1867
382	1156	1862
383	1158	1857
384	1160	1853
385	1162	1848
386	1164	1844
387	1168	1842
388	1170	1838
389	1172	1834
390	1174	1829
391	1177	1825
392	1179	1821
393	1181	1816
394	1184	1813
395	1186	1809
396	1189	1806
397	1191	1801
398	1193	1797
399	1194	1792
400	1197	1789
401	1200	1785
402	1203	1782
403	1206	1779
404	1208	1775
405	1211	1772
406	1214	1769
407	1217	1766
408	1220	1763
409	1222	1759
410	1225	1755
411	1228	1752
412	1230	1749
413	1232	1744
414	1235	1741
415	1238	1738
416	1240	1734
417	1243	1730
418	1245	1726
419	1246	1721
420	1248	1717
421	1250	1713
422	1252	1708
423	1254	1704
424	1258	1702
425	1260	1698
426	1262	1693
427	1264	1689
428	1266	1685
429	1268	1681
430	1271	1678
431	1273	1675
432	1275	1670
433	1277	1666
434	1279	1662
435	1281	1658
436	1284	1654
437	1287	1652
